feature_id,cohort,band_low,band_high,direction
adjacency_N_adjOverlap3Ratio,ALL,0.5714285714285714,0.7777777777777778,up
adjacency_N_adjOverlap3Token,ALL,8.0,13.0,up
adjacency_N_adjOverlap3TokenRatio,ALL,0.119047619047619,0.1717171717171717,up
adjacency_N_adjOverlapRatio,ALL,0.6666666666666666,0.8333333333333334,neutral
adjacency_N_adjOverlapToken,ALL,11.0,17.0,up
adjacency_N_adjOverlapTokenRatio,ALL,0.1625,0.2222222222222222,neutral
adjacency_N_repRatio,ALL,0.2538461538461538,0.2819767441860465,up
adjacency_V_repRatio,ALL,0.2156862745098039,0.2329749103942652,down
adjacency_adjacent_sentence_overlap_adjective_lemmas,ALL,9.0,14.0,up
adjacency_adjacent_sentence_overlap_adjective_lemmas_normed,ALL,4.0,7.0,neutral
adjacency_adjacent_sentence_overlap_adverb_lemmas,ALL,5.0,9.0,up
adjacency_adjacent_sentence_overlap_adverb_lemmas_normed,ALL,3.0,5.0,up
adjacency_adjacent_sentence_overlap_all_lemmas,ALL,201.0,275.0,up
adjacency_adjacent_sentence_overlap_all_lemmas_normed,ALL,9.0,13.0,neutral
adjacency_adjacent_sentence_overlap_content_lemmas,ALL,108.0,150.0,up
adjacency_adjacent_sentence_overlap_content_lemmas_normed,ALL,9.0,13.0,neutral
adjacency_adjacent_sentence_overlap_function_lemmas,ALL,84.0,117.0,up
adjacency_adjacent_sentence_overlap_function_lemmas_normed,ALL,9.0,13.0,neutral
adjacency_adjacent_sentence_overlap_noun_lemmas,ALL,61.0,89.0,up
adjacency_adjacent_sentence_overlap_noun_lemmas_normed,ALL,9.0,13.0,neutral
adjacency_adjacent_sentence_overlap_verb_lemmas,ALL,45.0,62.0,up
adjacency_adjacent_sentence_overlap_verb_lemmas_normed,ALL,9.0,12.0,up
adjacency_adjacent_two_sentence_overlap_adjective_lemmas,ALL,5.0,10.0,neutral
adjacency_adjacent_two_sentence_overlap_adjective_lemmas_normed,ALL,3.0,5.0,neutral
adjacency_adjacent_two_sentence_overlap_adverb_lemmas,ALL,2.0,5.0,neutral
adjacency_adjacent_two_sentence_overlap_adverb_lemmas_normed,ALL,1.0,3.0,neutral
adjacency_adjacent_two_sentence_overlap_all_lemmas,ALL,148.0,214.0,up
adjacency_adjacent_two_sentence_overlap_all_lemmas_normed,ALL,8.0,12.0,neutral
adjacency_adjacent_two_sentence_overlap_content_lemmas,ALL,84.0,122.0,up
adjacency_adjacent_two_sentence_overlap_content_lemmas_normed,ALL,8.0,12.0,neutral
adjacency_adjacent_two_sentence_overlap_function_lemmas,ALL,60.0,87.0,up
adjacency_adjacent_two_sentence_overlap_function_lemmas_normed,ALL,8.0,12.0,neutral
adjacency_adjacent_two_sentence_overlap_noun_lemmas,ALL,48.0,74.0,up
adjacency_adjacent_two_sentence_overlap_noun_lemmas_normed,ALL,8.0,11.0,up
adjacency_adjacent_two_sentence_overlap_verb_lemmas,ALL,34.0,48.0,up
adjacency_adjacent_two_sentence_overlap_verb_lemmas_normed,ALL,8.0,11.0,up
adjacency_binary_adjacent_sentence_overlap_adjective_lemmas,ALL,1.0,3.0,neutral
adjacency_binary_adjacent_sentence_overlap_adverb_lemmas,ALL,0.0,1.0,neutral
adjacency_binary_adjacent_sentence_overlap_all_lemmas,ALL,9.0,12.0,up
adjacency_binary_adjacent_sentence_overlap_content_lemmas,ALL,8.0,11.0,up
adjacency_binary_adjacent_sentence_overlap_function_lemmas,ALL,9.0,12.0,up
adjacency_binary_adjacent_sentence_overlap_noun_lemmas,ALL,7.0,9.0,up
adjacency_binary_adjacent_sentence_overlap_verb_lemmas,ALL,6.0,9.0,neutral
adjacency_binary_adjacent_two_sentence_overlap_adjective_lemmas,ALL,0.0,1.0,neutral
adjacency_binary_adjacent_two_sentence_overlap_adverb_lemmas,ALL,0.0,0.0,neutral
adjacency_binary_adjacent_two_sentence_overlap_all_lemmas,ALL,8.0,11.0,up
adjacency_binary_adjacent_two_sentence_overlap_content_lemmas,ALL,6.0,8.0,up
adjacency_binary_adjacent_two_sentence_overlap_function_lemmas,ALL,7.0,11.0,neutral
adjacency_binary_adjacent_two_sentence_overlap_noun_lemmas,ALL,4.0,6.0,up
adjacency_binary_adjacent_two_sentence_overlap_verb_lemmas,ALL,4.0,6.0,up
adjacency_morph_adjOverlap,ALL,9.0,12.0,up
adjacency_morph_adjOverlap3,ALL,8.0,11.0,up
adjacency_morph_adjOverlap3Ratio,ALL,1.0,1.0,neutral
adjacency_morph_adjOverlap3TokenRatio,ALL,0.1616161616161616,0.18954966602025428,up
adjacency_morph_adjOverlapRatio,ALL,1.0,1.0,neutral
adjacency_morph_adjOverlapToken,ALL,58.0,78.0,up
adjacency_morph_adjOverlapTokenRatio,ALL,0.1964809384164223,0.2265861027190332,up
adjacency_morphe_adjOverlap3Token,ALL,48.0,66.0,up
basic_count_C_Cnt,ALL,151.0,203.0,up
basic_count_E_Cnt,ALL,67.0,89.0,up
basic_count_F_Cnt,ALL,128.0,173.0,up
basic_count_IC_Cnt,ALL,0.0,0.0,neutral
basic_count_J_Cnt,ALL,54.0,73.0,up
basic_count_MA_Cnt,ALL,11.0,16.0,up
basic_count_MM_Cnt,ALL,3.0,5.0,neutral
basic_count_M_Cnt,ALL,14.0,20.0,up
basic_count_NNB_Cnt,ALL,10.0,15.0,up
basic_count_NNG_Cnt,ALL,51.0,76.0,up
basic_count_NNP_Cnt,ALL,0.0,1.0,neutral
basic_count_NN_Cnt,ALL,64.0,93.0,up
basic_count_NPP_Cnt,ALL,3.0,5.0,neutral
basic_count_NPT_Cnt,ALL,0.0,1.0,neutral
basic_count_NP_Cnt,ALL,4.0,8.0,neutral
basic_count_NR_Cnt,ALL,0.0,1.0,neutral
basic_count_N_Cnt,ALL,71.0,100.0,up
basic_count_VA_Cnt,ALL,14.0,20.0,up
basic_count_VCN_Cnt,ALL,0.0,1.0,neutral
basic_count_VCP_Cnt,ALL,5.0,9.0,neutral
basic_count_VV_Cnt,ALL,32.0,43.0,up
basic_count_VX_Cnt,ALL,7.0,11.0,neutral
basic_count_V_Cnt,ALL,62.0,82.0,up
basic_count_X_Cnt,ALL,5.0,10.0,up
basic_count_char_Cnt,ALL,403.0,564.0,up
basic_count_morph_Cnt,ALL,294.0,398.0,up
basic_count_para_Cnt,ALL,1.0,1.0,neutral
basic_count_sentence_Cnt,ALL,10.0,14.0,neutral
basic_count_word_Cnt,ALL,146.0,196.0,up
basic_density_C_Den,ALL,0.5082044358727098,0.5228070175438596,down
basic_density_EF_Den,ALL,0.5083798882681564,0.55,down
basic_density_E_Den,ALL,0.219435736677116,0.2394366197183098,down
basic_density_F_Den,ALL,0.4289487794553407,0.446866485013624,up
basic_density_INC_Den,ALL,0.0,0.0,neutral
basic_density_IT_Den,ALL,0.0,0.0,neutral
basic_density_JF_Den,ALL,0.4124293785310734,0.4465408805031447,up
basic_density_J_Den,ALL,0.1779141104294479,0.1936416184971098,up
basic_density_MAC_Den,ALL,0.06741573033707865,0.09243697478991597,down
basic_density_MA_Den,ALL,0.03440860215053763,0.04739336492890995,down
basic_density_MC_Den,ALL,0.09009009009009009,0.1179775280898876,down
basic_density_MMC_Den,ALL,0.01704545454545454,0.02912621359223301,up
basic_density_MM_Den,ALL,0.008695652173913044,0.01492537313432836,up
basic_density_M_Den,ALL,0.0460122699386503,0.06060606060606061,down
basic_density_NC_Den,ALL,0.4719101123595505,0.5181818181818182,up
basic_density_NMC_Den,ALL,0.0,0.00390625,neutral
basic_density_NM_Den,ALL,0.0,0.002028397565922921,neutral
basic_density_NNBC_Den,ALL,0.06315789473684211,0.08403361344537816,up
basic_density_NNB_Den,ALL,0.03225806451612903,0.04324324324324325,up
basic_density_NNC_Den,ALL,0.4285714285714285,0.483695652173913,up
basic_density_NNGC_Den,ALL,0.0,0.00909090909090909,neutral
basic_density_NNG_Den,ALL,0.1755102040816326,0.2055837563451777,up
basic_density_NNPC_Den,ALL,0.0,0.00909090909090909,neutral
basic_density_NNP_Den,ALL,0.0,0.004672897196261682,neutral
basic_density_NN_Den,ALL,0.21892211738365586,0.2489288495318809,up
basic_density_NPC_Den,ALL,0.02643171806167401,0.04639175257731959,down
basic_density_NP_Den,ALL,0.01360544217687075,0.02372881355932203,down
basic_density_N_Den,ALL,0.24068910108285277,0.2666816143497756,up
basic_density_VAC_Den,ALL,0.08571428571428572,0.1126760563380282,down
basic_density_VA_Den,ALL,0.04385964912280702,0.0576271186440678,down
basic_density_VC_Den,ALL,0.3981481481481481,0.4341085271317829,up
basic_density_VVC_Den,ALL,0.2045454545454546,0.23383485796822337,up
basic_density_VV_Den,ALL,0.1050955414012739,0.1194029850746269,down
basic_density_V_Den,ALL,0.2042253521126761,0.221606648199446,up
basic_density_XF_Den,ALL,0.04117647058823529,0.06756756756756757,up
basic_density_X_Den,ALL,0.017685206112975308,0.029330633374766078,up
basic_level_morph_LenAvg,ALL,1.525423728813559,1.5835357127761713,up
basic_level_morph_LenStd,ALL,0.7145490088665537,0.7623352344278203,up
basic_level_word_LenAvg,ALL,2.8060520760028154,2.965260522191215,down
basic_level_word_LenStd,ALL,1.3328920159611364,1.4449475872734576,down
readability_text_dalechall,ALL,5.491424576785222,6.086501043036029,up
readability_text_flesch,ALL,12.855743074433962,21.878581635597932,down
readability_text_fleschkincaid,ALL,17.145018051665105,19.92598849104859,up
readability_text_oridx,ALL,24367.31847039401,32611.53641290447,up
sentenceLvlRep_morph_paraNgram2Std_N2,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N3,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N4,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N5,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2_N2,ALL,35.0,49.0,up
sentenceLvlRep_morph_paraNgram2_N3,ALL,18.0,26.0,up
sentenceLvlRep_morph_paraNgram2_N4,ALL,8.0,14.0,neutral
sentenceLvlRep_morph_paraNgram2_N5,ALL,3.0,7.0,neutral
sentenceLvlRep_morph_paraNgram2_N6,ALL,1.0,3.0,neutral
sentenceLvlRep_morph_paraNgram2_N7,ALL,0.0,1.0,neutral
sentenceLvlRep_morph_paraNgram2_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N2,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N3,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N4,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N5,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3_N2,ALL,12.0,18.0,up
sentenceLvlRep_morph_paraNgram3_N3,ALL,4.0,7.0,up
sentenceLvlRep_morph_paraNgram3_N4,ALL,1.0,2.0,neutral
sentenceLvlRep_morph_paraNgram3_N5,ALL,0.0,1.0,neutral
sentenceLvlRep_morph_paraNgram3_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgram2Std_N2,ALL,9.437434362349034,15.108523559734573,up
sentenceLvlRep_morph_sentNgram2Std_N3,ALL,3.2535955934079763,6.568614909315035,up
sentenceLvlRep_morph_sentNgram2Std_N4,ALL,2.386303510546061,3.6581887998102265,up
sentenceLvlRep_morph_sentNgram2Std_N5,ALL,3.3272606079567852,4.51791596046788,up
sentenceLvlRep_morph_sentNgram2Std_N6,ALL,4.277997748331581,5.236112584392949,up
sentenceLvlRep_morph_sentNgram2Std_N7,ALL,4.756574397610112,5.567764362830022,up
sentenceLvlRep_morph_sentNgram2Std_N8,ALL,4.987484335815001,5.732115042211108,up
sentenceLvlRep_morph_sentNgram2_N2,ALL,3.090909090909091,4.111111111111111,up
sentenceLvlRep_morph_sentNgram2_N3,ALL,1.545454545454545,2.25,up
sentenceLvlRep_morph_sentNgram2_N4,ALL,0.6666666666666666,1.181818181818182,up
sentenceLvlRep_morph_sentNgram2_N5,ALL,0.2666666666666667,0.625,up
sentenceLvlRep_morph_sentNgram2_N6,ALL,0.07692307692307693,0.3,up
sentenceLvlRep_morph_sentNgram2_N7,ALL,0.0,0.125,neutral
sentenceLvlRep_morph_sentNgram2_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgram3Std_N2,ALL,4.2592336655301954,5.16198264335423,up
sentenceLvlRep_morph_sentNgram3Std_N3,ALL,4.027780514503743,4.672139893127136,up
sentenceLvlRep_morph_sentNgram3Std_N4,ALL,4.752446340068863,5.504543577809154,up
sentenceLvlRep_morph_sentNgram3Std_N5,ALL,5.093416673184248,5.802298395176403,up
sentenceLvlRep_morph_sentNgram3Std_N6,ALL,5.228129047119374,5.916079783099616,up
sentenceLvlRep_morph_sentNgram3Std_N7,ALL,5.257153438567332,5.942027625961723,up
sentenceLvlRep_morph_sentNgram3Std_N8,ALL,5.267826876426369,5.949789912257406,up
sentenceLvlRep_morph_sentNgram3_N2,ALL,1.04809523809524,1.5,up
sentenceLvlRep_morph_sentNgram3_N3,ALL,0.3333333333333333,0.6,up
sentenceLvlRep_morph_sentNgram3_N4,ALL,0.06666666666666667,0.2142857142857143,up
sentenceLvlRep_morph_sentNgram3_N5,ALL,0.0,0.06666666666666667,neutral
sentenceLvlRep_morph_sentNgram3_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgram3_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgram3_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap2Avg_N2,ALL,0.06571428571428571,0.08940397350993377,down
sentenceLvlRep_morph_sentNgramOverlap2Avg_N3,ALL,0.0205761316872428,0.03603603603603604,down
sentenceLvlRep_morph_sentNgramOverlap2Avg_N4,ALL,0.005830903790087463,0.01531728665207877,down
sentenceLvlRep_morph_sentNgramOverlap2Avg_N5,ALL,0.0,0.006578947368421052,up
sentenceLvlRep_morph_sentNgramOverlap2Avg_N6,ALL,0.0,0.001893939393939394,neutral
sentenceLvlRep_morph_sentNgramOverlap2Avg_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap2Avg_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap2_N2,ALL,0.8,1.615384615384615,neutral
sentenceLvlRep_morph_sentNgramOverlap2_N3,ALL,-0.4285714285714286,0.0,up
sentenceLvlRep_morph_sentNgramOverlap2_N4,ALL,-0.8421052631578947,-0.5555555555555556,up
sentenceLvlRep_morph_sentNgramOverlap2_N5,ALL,-1.0,-0.8181818181818181,up
sentenceLvlRep_morph_sentNgramOverlap2_N6,ALL,-1.0,-0.9523809523809523,neutral
sentenceLvlRep_morph_sentNgramOverlap2_N7,ALL,-1.0,-1.0,neutral
sentenceLvlRep_morph_sentNgramOverlap2_N8,ALL,-1.0,-1.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N2,ALL,0.01623376623376623,0.02816901408450704,up
sentenceLvlRep_morph_sentNgramOverlap3Avg_N3,ALL,0.0,0.005797101449275362,up
sentenceLvlRep_morph_sentNgramOverlap3Avg_N4,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N5,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N2,ALL,-1.545454545454545,-1.2,up
sentenceLvlRep_morph_sentNgramOverlap3_N3,ALL,-2.0,-1.833333333333333,up
sentenceLvlRep_morph_sentNgramOverlap3_N4,ALL,-2.0,-2.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N5,ALL,-2.0,-2.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N6,ALL,-2.0,-2.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N7,ALL,-2.0,-2.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N8,ALL,-2.0,-2.0,neutral
sentenceLvl_MA_sentLen,ALL,1.0,1.333333333333333,up
sentenceLvl_MM_sentLen,ALL,0.24,0.4375,up
sentenceLvl_M_sentLen,ALL,1.272727272727273,1.727272727272727,neutral
sentenceLvl_V_paraLenAvg,ALL,62.0,82.0,up
sentenceLvl_V_paraLenStd,ALL,0.0,0.0,neutral
sentenceLvl_V_sentLenAvg,ALL,5.428571428571429,6.916666666666667,up
sentenceLvl_V_sentLenStd,ALL,10.70794097854485,16.28690142091911,up
sentenceLvl_char_paraLenAvg,ALL,555.0,773.0,up
sentenceLvl_char_paraLenStd,ALL,0.0,0.0,neutral
sentenceLvl_char_sentLenAvg,ALL,49.77777777777778,62.70142857142855,up
sentenceLvl_char_sentLenStd,ALL,21.241045159759118,29.8322961546812,up
sentenceLvl_morph_paraLenAvg,ALL,294.0,398.0,up
sentenceLvl_morph_paraLenStd,ALL,0.0,0.0,neutral
sentenceLvl_morph_sentLenAvg,ALL,26.15384615384615,32.71428571428572,up
sentenceLvl_morph_sentLenStd,ALL,11.236691731207058,15.690285683783046,up
sentenceLvl_word_paraLenAvg,ALL,136.0,183.0,up
sentenceLvl_word_paraLenStd,ALL,0.0,0.0,neutral
sentenceLvl_word_sentLenAvg,ALL,12.0,15.16666666666667,up
sentenceLvl_word_sentLenStd,ALL,5.325900992892118,7.432646281943985,up
similarity_avgSentSimilarity,ALL,0.1913218587636948,0.2769434720277786,down
similarity_topicConsistency,ALL,0.5001,0.573,up
ttr_2-gram_CTTR,ALL,3.54622915783684,4.172679241962607,up
ttr_2-gram_RTTR,ALL,5.015125370295778,5.901059575416204,up
ttr_2-gram_TTR,ALL,0.1147741147741148,0.1214771622934888,down
ttr_3-gram_CTTR,ALL,4.068752207439948,4.775992435216356,up
ttr_3-gram_RTTR,ALL,5.754084553697042,6.754273275674276,up
ttr_3-gram_TTR,ALL,0.132046332046332,0.1363306744017404,down
ttr_4-gram_CTTR,ALL,4.276212752022802,4.989956260571134,up
ttr_4-gram_RTTR,ALL,6.047478069503424,7.056863819348232,up
ttr_4-gram_TTR,ALL,0.138592750533049,0.1410411622276029,down
ttr_5-gram_CTTR,ALL,4.351764534554731,5.071098712761047,up
ttr_5-gram_RTTR,ALL,6.15432442502154,7.171616575719416,up
ttr_5-gram_TTR,ALL,0.140913508260447,0.1423034330011074,down
ttr_6-gram_CTTR,ALL,4.375523207207245,5.099095645064478,up
ttr_6-gram_RTTR,ALL,6.187924262110708,7.211210217087771,up
ttr_6-gram_TTR,ALL,0.1416040100250626,0.1422492401215806,up
ttr_7-gram_CTTR,ALL,4.383529660759792,5.10609467840989,up
ttr_7-gram_RTTR,ALL,6.19924709731123,7.221108344968353,up
ttr_7-gram_TTR,ALL,0.1414068165337201,0.1419443176631675,up
ttr_8-gram_CTTR,ALL,4.375523207207245,5.099954542367111,up
ttr_8-gram_RTTR,ALL,6.187924262110708,7.212424881301839,up
ttr_8-gram_TTR,ALL,0.1410488245931284,0.1416040100250626,up
ttr_C_CTTR,ALL,4.645954183057969,5.504499696449494,up
ttr_C_HDD,ALL,0.7705971046785386,0.816785839188145,up
ttr_C_MATTR,ALL,0.7224633484162897,0.7732203389830508,up
ttr_C_MSTTR,ALL,0.72,0.77,up
ttr_C_MTLD,ALL,45.92911361772884,63.75958456705917,up
ttr_C_RTTR,ALL,6.570371415844594,7.784538124797457,up
ttr_C_TTR,ALL,0.5403225806451613,0.6016293897378808,down
ttr_C_VOCDD,ALL,54.25643081100361,76.39137100968148,up
ttr_E_CTTR,ALL,2.014557410063451,2.2372322931098,up
ttr_E_HDD,ALL,0.44676480902023596,0.4918085539153464,up
ttr_E_MATTR,ALL,0.4177874396135268,0.46105263157894744,down
ttr_E_MSTTR,ALL,0.42,0.46,down
ttr_E_MTLD,ALL,14.042373861323103,16.248664822797373,up
ttr_E_RTTR,ALL,2.849014411490948,3.163924251094939,up
ttr_E_TTR,ALL,0.3269230769230769,0.3880597014925373,down
ttr_E_VOCDD,ALL,7.178882469296582,9.747748107433086,up
ttr_F_CTTR,ALL,2.365984699418743,2.57538282301542,up
ttr_F_HDD,ALL,0.5453394997888459,0.5747901036400175,up
ttr_F_MATTR,ALL,0.4975479399306896,0.5302130720955157,up
ttr_F_MSTTR,ALL,0.4933333333333333,0.528,up
ttr_F_MTLD,ALL,19.499490337651306,22.023597437062747,up
ttr_F_RTTR,ALL,3.346007650285217,3.642141316611115,up
ttr_F_TTR,ALL,0.2746478873239437,0.328125,down
ttr_F_VOCDD,ALL,13.685621306977506,16.253744468833226,up
ttr_IC_CTTR,ALL,0.0,0.0,neutral
ttr_IC_HDD,ALL,0.0,0.0,neutral
ttr_IC_MATTR,ALL,0.0,0.0,neutral
ttr_IC_MSTTR,ALL,0.0,0.0,neutral
ttr_IC_MTLD,ALL,0.0,0.0,neutral
ttr_IC_RTTR,ALL,0.0,0.0,neutral
ttr_IC_TTR,ALL,0.0,0.0,neutral
ttr_IC_VOCDD,ALL,0.0,0.0,neutral
ttr_J_CTTR,ALL,1.358732440973515,1.521217461148328,down
ttr_J_HDD,ALL,0.30531958719479874,0.3445505926544776,up
ttr_J_MATTR,ALL,0.2974248455730954,0.3333333333333333,down
ttr_J_MSTTR,ALL,0.3,0.34,down
ttr_J_MTLD,ALL,10.62081823792363,11.50007832268948,up
ttr_J_RTTR,ALL,1.921537845661045,2.151326364874732,down
ttr_J_TTR,ALL,0.2409638554216867,0.303030303030303,down
ttr_J_VOCDD,ALL,2.361212694003826,3.663958964796842,up
ttr_MAJ_CTTR,ALL,0.7071067811865475,0.8660254037844387,neutral
ttr_MAJ_HDD,ALL,0.0,0.0,neutral
ttr_MAJ_MATTR,ALL,0.6666666666666666,1.0,neutral
ttr_MAJ_MSTTR,ALL,0.6666666666666666,1.0,neutral
ttr_MAJ_MTLD,ALL,0.0,1.12,neutral
ttr_MAJ_RTTR,ALL,1.0,1.224744871391589,neutral
ttr_MAJ_TTR,ALL,0.6666666666666666,1.0,neutral
ttr_MAJ_VOCDD,ALL,0.0,0.0,neutral
ttr_MA_CTTR,ALL,1.833333333333333,2.166666666666667,up
ttr_MA_HDD,ALL,0.0,0.0,neutral
ttr_MA_MATTR,ALL,0.7692307692307693,0.875,neutral
ttr_MA_MSTTR,ALL,0.7692307692307693,0.875,neutral
ttr_MA_MTLD,ALL,11.875,20.16000000000001,up
ttr_MA_RTTR,ALL,2.592724864350675,3.064129385141706,up
ttr_MA_TTR,ALL,0.7692307692307693,0.875,neutral
ttr_MA_VOCDD,ALL,0.0,0.0,neutral
ttr_MM_CTTR,ALL,0.0,0.0,neutral
ttr_MM_HDD,ALL,0.0,0.0,neutral
ttr_MM_MATTR,ALL,0.0,0.0,neutral
ttr_MM_MSTTR,ALL,0.0,0.0,neutral
ttr_MM_MTLD,ALL,0.0,0.0,neutral
ttr_MM_RTTR,ALL,0.0,0.0,neutral
ttr_MM_TTR,ALL,0.0,0.0,neutral
ttr_MM_VOCDD,ALL,0.0,0.0,neutral
ttr_M_CTTR,ALL,1.833333333333333,2.166666666666667,up
ttr_M_HDD,ALL,0.0,0.0,neutral
ttr_M_MATTR,ALL,0.7692307692307693,0.875,neutral
ttr_M_MSTTR,ALL,0.7692307692307693,0.875,neutral
ttr_M_MTLD,ALL,11.875,20.16000000000001,up
ttr_M_RTTR,ALL,2.592724864350675,3.064129385141706,up
ttr_M_TTR,ALL,0.7692307692307693,0.875,neutral
ttr_M_VOCDD,ALL,0.0,0.0,neutral
ttr_NNB_CTTR,ALL,0.9128709291752769,1.154700538379252,neutral
ttr_NNB_HDD,ALL,0.0,0.0,neutral
ttr_NNB_MATTR,ALL,0.375,0.5,down
ttr_NNB_MSTTR,ALL,0.375,0.5,down
ttr_NNB_MTLD,ALL,5.601025828906393,8.153846153846153,up
ttr_NNB_RTTR,ALL,1.290994448735806,1.632993161855452,neutral
ttr_NNB_TTR,ALL,0.375,0.5,down
ttr_NNB_VOCDD,ALL,0.0,0.0,neutral
ttr_NNG_CTTR,ALL,2.900962670491369,3.642857142857143,up
ttr_NNG_HDD,ALL,0.5701847363590519,0.702947455658494,up
ttr_NNG_MATTR,ALL,0.6,0.6904761904761905,up
ttr_NNG_MSTTR,ALL,0.6,0.68,neutral
