feature_id,cohort,band_low,band_high,direction
adjacency_adjacent_sentence_overlap_noun_lemmas,ALL,59.0,88.0,up
adjacency_adjacent_sentence_overlap_noun_lemmas_normed,ALL,9.0,13.0,neutral
adjacency_adjacent_sentence_overlap_verb_lemmas,ALL,44.0,60.0,up
adjacency_adjacent_sentence_overlap_verb_lemmas_normed,ALL,9.0,12.0,up
adjacency_adjacent_two_sentence_overlap_adjective_lemmas,ALL,5.0,10.0,neutral
adjacency_adjacent_two_sentence_overlap_adjective_lemmas_normed,ALL,2.0,5.0,neutral
adjacency_adjacent_two_sentence_overlap_adverb_lemmas,ALL,1.0,5.0,neutral
adjacency_adjacent_two_sentence_overlap_adverb_lemmas_normed,ALL,1.0,3.0,neutral
adjacency_adjacent_two_sentence_overlap_all_lemmas,ALL,141.0,210.0,up
adjacency_adjacent_two_sentence_overlap_all_lemmas_normed,ALL,8.0,12.0,neutral
adjacency_adjacent_two_sentence_overlap_content_lemmas,ALL,81.0,120.0,up
adjacency_adjacent_two_sentence_overlap_content_lemmas_normed,ALL,8.0,12.0,neutral
adjacency_adjacent_two_sentence_overlap_function_lemmas,ALL,56.0,86.0,up
adjacency_adjacent_two_sentence_overlap_function_lemmas_normed,ALL,8.0,12.0,neutral
adjacency_adjacent_two_sentence_overlap_noun_lemmas,ALL,46.0,73.0,up
adjacency_adjacent_two_sentence_overlap_noun_lemmas_normed,ALL,8.0,11.0,up
adjacency_adjacent_two_sentence_overlap_verb_lemmas,ALL,32.0,47.0,up
adjacency_adjacent_two_sentence_overlap_verb_lemmas_normed,ALL,8.0,11.0,up
adjacency_binary_adjacent_sentence_overlap_adjective_lemmas,ALL,1.0,3.0,neutral
adjacency_binary_adjacent_sentence_overlap_adverb_lemmas,ALL,0.0,1.0,neutral
adjacency_binary_adjacent_sentence_overlap_all_lemmas,ALL,9.0,12.0,up
adjacency_binary_adjacent_sentence_overlap_content_lemmas,ALL,8.0,11.0,up
adjacency_binary_adjacent_sentence_overlap_function_lemmas,ALL,9.0,12.0,up
adjacency_binary_adjacent_sentence_overlap_noun_lemmas,ALL,7.0,9.0,neutral
adjacency_binary_adjacent_sentence_overlap_verb_lemmas,ALL,6.0,9.0,neutral
adjacency_binary_adjacent_two_sentence_overlap_adjective_lemmas,ALL,0.0,1.0,neutral
adjacency_binary_adjacent_two_sentence_overlap_adverb_lemmas,ALL,0.0,0.0,neutral
adjacency_binary_adjacent_two_sentence_overlap_all_lemmas,ALL,8.0,11.0,up
adjacency_binary_adjacent_two_sentence_overlap_content_lemmas,ALL,6.0,8.0,up
adjacency_binary_adjacent_two_sentence_overlap_function_lemmas,ALL,7.0,11.0,neutral
adjacency_binary_adjacent_two_sentence_overlap_noun_lemmas,ALL,4.0,6.0,up
adjacency_binary_adjacent_two_sentence_overlap_verb_lemmas,ALL,4.0,6.0,up
adjacency_morph_adjOverlap,ALL,9.0,12.0,up
adjacency_morph_adjOverlap3,ALL,8.0,11.0,up
adjacency_morph_adjOverlap3Ratio,ALL,1.0,1.0,neutral
adjacency_morph_adjOverlap3TokenRatio,ALL,0.16115312278270721,0.18936876952648163,up
adjacency_morph_adjOverlapRatio,ALL,1.0,1.0,neutral
adjacency_morph_adjOverlapToken,ALL,56.0,77.0,up
adjacency_morph_adjOverlapTokenRatio,ALL,0.19700214266777039,0.22689075767993927,up
adjacency_morphe_adjOverlap3Token,ALL,46.0,65.0,up
basic_count_C_Cnt,ALL,146.0,200.0,up
basic_count_E_Cnt,ALL,64.0,87.0,up
basic_count_F_Cnt,ALL,124.0,169.0,up
basic_count_IC_Cnt,ALL,0.0,0.0,neutral
basic_count_J_Cnt,ALL,52.0,73.0,up
basic_count_MA_Cnt,ALL,10.0,15.0,up
basic_count_MM_Cnt,ALL,3.0,5.0,neutral
basic_count_M_Cnt,ALL,14.0,20.0,up
basic_count_NNB_Cnt,ALL,10.0,15.0,up
basic_count_NNG_Cnt,ALL,49.0,75.0,up
basic_count_NNP_Cnt,ALL,0.0,1.0,neutral
basic_count_NN_Cnt,ALL,62.0,92.0,up
basic_count_NPP_Cnt,ALL,2.0,5.0,neutral
basic_count_NPT_Cnt,ALL,0.0,1.0,neutral
basic_count_NP_Cnt,ALL,4.0,7.0,neutral
basic_count_NR_Cnt,ALL,0.0,1.0,neutral
basic_count_N_Cnt,ALL,69.0,99.0,up
basic_count_VA_Cnt,ALL,13.0,19.0,up
basic_count_VCN_Cnt,ALL,0.0,1.0,neutral
basic_count_VCP_Cnt,ALL,5.0,9.0,neutral
basic_count_VV_Cnt,ALL,31.0,43.0,up
basic_count_VX_Cnt,ALL,7.0,11.0,neutral
basic_count_V_Cnt,ALL,60.0,80.0,up
basic_count_X_Cnt,ALL,5.0,10.0,neutral
basic_count_char_Cnt,ALL,394.0,550.0,up
basic_count_morph_Cnt,ALL,285.0,391.89999999999964,up
basic_count_para_Cnt,ALL,1.0,1.0,neutral
basic_count_sentence_Cnt,ALL,10.0,14.0,neutral
basic_count_word_Cnt,ALL,142.0,194.0,up
basic_density_C_Den,ALL,0.5082846879959106,0.5232535004615784,down
basic_density_EF_Den,ALL,0.5080645084381104,0.550000011920929,down
basic_density_E_Den,ALL,0.21865889430046082,0.23880596458911896,down
basic_density_F_Den,ALL,0.42751842737197876,0.44556713104248047,up
basic_density_INC_Den,ALL,0.0,0.0,neutral
basic_density_IT_Den,ALL,0.0,0.0,neutral
basic_density_JF_Den,ALL,0.41290321946144104,0.4486486613750458,up
basic_density_J_Den,ALL,0.17777778208255768,0.19360966980457306,up
basic_density_MAC_Den,ALL,0.06711409240961075,0.09183673560619354,down
basic_density_MA_Den,ALL,0.03426124155521393,0.04728132486343384,down
basic_density_MC_Den,ALL,0.08974359184503555,0.11764705926179886,down
basic_density_MMC_Den,ALL,0.016949152573943138,0.029032258316874504,up
basic_density_MM_Den,ALL,0.008635589852929115,0.014851485379040241,up
basic_density_M_Den,ALL,0.04571428522467613,0.06060606241226196,down
basic_density_NC_Den,ALL,0.4736842215061188,0.5196850299835205,up
basic_density_NMC_Den,ALL,0.0,0.0038910505827516317,neutral
basic_density_NM_Den,ALL,0.0,0.002027577254921198,neutral
basic_density_NNBC_Den,ALL,0.06334841996431351,0.0845070406794548,up
basic_density_NNB_Den,ALL,0.032371774315834045,0.043478261679410934,up
basic_density_NNC_Den,ALL,0.4308510720729828,0.48571428656578064,up
basic_density_NNGC_Den,ALL,0.0,0.009259259328246117,neutral
basic_density_NNG_Den,ALL,0.1759631484746933,0.20610687136650085,up
basic_density_NNPC_Den,ALL,0.0,0.009259259328246117,neutral
basic_density_NNP_Den,ALL,0.0,0.004739336669445038,neutral
basic_density_NN_Den,ALL,0.21971715986728668,0.25,up
basic_density_NPC_Den,ALL,0.025510204955935478,0.04545454680919647,down
basic_density_NP_Den,ALL,0.013100436888635159,0.02331606298685074,down
basic_density_N_Den,ALL,0.24145126342773438,0.26737967133522034,up
basic_density_VAC_Den,ALL,0.0858420878648758,0.1130952388048172,down
basic_density_VA_Den,ALL,0.04395604506134987,0.05792510509490967,down
basic_density_VC_Den,ALL,0.3966480493545532,0.4337349534034729,up
basic_density_VVC_Den,ALL,0.20437955856323242,0.23369565606117249,up
basic_density_VV_Den,ALL,0.10509338974952698,0.11940298229455948,down
basic_density_V_Den,ALL,0.20363308489322662,0.2214435487985611,down
basic_density_XF_Den,ALL,0.03999999910593033,0.0669424906373024,up
basic_density_X_Den,ALL,0.017142856493592262,0.028901733458042145,up
basic_level_morph_LenAvg,ALL,1.5230263471603394,1.5825687646865845,up
basic_level_morph_LenStd,ALL,0.7126412987709045,0.7614205479621887,up
basic_level_word_LenAvg,ALL,2.7903225421905518,2.947641372680664,down
basic_level_word_LenStd,ALL,1.3241230249404907,1.4352688789367676,down
readability_text_dalechall,ALL,5.453829765319824,6.065681457519531,up
readability_text_flesch,ALL,13.232132911682129,22.369304656982422,down
readability_text_fleschkincaid,ALL,16.963333129882812,19.80385398864746,up
readability_text_oridx,ALL,23658.63827610528,32100.35643266347,up
sentenceLvlRep_morph_paraNgram2Std_N2,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N3,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N4,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N5,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2Std_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram2_N2,ALL,34.0,48.0,up
sentenceLvlRep_morph_paraNgram2_N3,ALL,17.0,26.0,up
sentenceLvlRep_morph_paraNgram2_N4,ALL,8.0,13.0,neutral
sentenceLvlRep_morph_paraNgram2_N5,ALL,3.0,7.0,neutral
sentenceLvlRep_morph_paraNgram2_N6,ALL,1.0,3.0,neutral
sentenceLvlRep_morph_paraNgram2_N7,ALL,0.0,1.0,neutral
sentenceLvlRep_morph_paraNgram2_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N2,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N3,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N4,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N5,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3Std_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3_N2,ALL,12.0,18.0,neutral
sentenceLvlRep_morph_paraNgram3_N3,ALL,4.0,7.0,up
sentenceLvlRep_morph_paraNgram3_N4,ALL,1.0,2.0,neutral
sentenceLvlRep_morph_paraNgram3_N5,ALL,0.0,1.0,neutral
sentenceLvlRep_morph_paraNgram3_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_paraNgram3_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgram2Std_N2,ALL,9.256205558776855,14.818957328796387,up
sentenceLvlRep_morph_sentNgram2Std_N3,ALL,3.203237533569336,6.454140663146973,up
sentenceLvlRep_morph_sentNgram2Std_N4,ALL,2.3852806091308594,3.626711130142212,down
sentenceLvlRep_morph_sentNgram2Std_N5,ALL,3.3188998699188232,4.479077339172363,down
sentenceLvlRep_morph_sentNgram2Std_N6,ALL,4.245831489562988,5.203495979309082,up
sentenceLvlRep_morph_sentNgram2Std_N7,ALL,4.716792583465576,5.537749290466309,up
sentenceLvlRep_morph_sentNgram2Std_N8,ALL,4.9455366134643555,5.705747604370117,up
sentenceLvlRep_morph_sentNgram2_N2,ALL,3.0416667461395264,4.07692289352417,up
sentenceLvlRep_morph_sentNgram2_N3,ALL,1.529411792755127,2.25,up
sentenceLvlRep_morph_sentNgram2_N4,ALL,0.6666666865348816,1.1764706373214722,up
sentenceLvlRep_morph_sentNgram2_N5,ALL,0.2666666805744171,0.6190476417541504,up
sentenceLvlRep_morph_sentNgram2_N6,ALL,0.0714285746216774,0.29411765933036804,up
sentenceLvlRep_morph_sentNgram2_N7,ALL,0.0,0.125,neutral
sentenceLvlRep_morph_sentNgram2_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgram3Std_N2,ALL,4.252921104431152,5.134199142456055,up
sentenceLvlRep_morph_sentNgram3Std_N3,ALL,3.999431848526001,4.64904260635376,down
sentenceLvlRep_morph_sentNgram3Std_N4,ALL,4.713329792022705,5.461989879608154,up
sentenceLvlRep_morph_sentNgram3Std_N5,ALL,5.055912017822266,5.771252155303955,up
sentenceLvlRep_morph_sentNgram3Std_N6,ALL,5.182387828826904,5.8906707763671875,up
sentenceLvlRep_morph_sentNgram3Std_N7,ALL,5.2089667320251465,5.916079998016357,up
sentenceLvlRep_morph_sentNgram3Std_N8,ALL,5.21310567855835,5.916079998016357,up
sentenceLvlRep_morph_sentNgram3_N2,ALL,1.0,1.5,up
sentenceLvlRep_morph_sentNgram3_N3,ALL,0.3333333432674408,0.6000000238418579,up
sentenceLvlRep_morph_sentNgram3_N4,ALL,0.06666667014360428,0.2142857164144516,up
sentenceLvlRep_morph_sentNgram3_N5,ALL,0.0,0.06666667014360428,neutral
sentenceLvlRep_morph_sentNgram3_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgram3_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgram3_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap2Avg_N2,ALL,0.06631762534379959,0.09049773961305618,down
sentenceLvlRep_morph_sentNgramOverlap2Avg_N3,ALL,0.021108180284500122,0.03669724613428116,up
sentenceLvlRep_morph_sentNgramOverlap2Avg_N4,ALL,0.005917159840464592,0.01577909290790558,up
sentenceLvlRep_morph_sentNgramOverlap2Avg_N5,ALL,0.0,0.006688963156193495,up
sentenceLvlRep_morph_sentNgramOverlap2Avg_N6,ALL,0.0,0.0018691589357331395,neutral
sentenceLvlRep_morph_sentNgramOverlap2Avg_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap2Avg_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap2_N2,ALL,0.800000011920929,1.600000023841858,neutral
sentenceLvlRep_morph_sentNgramOverlap2_N3,ALL,-0.4285714328289032,0.0,up
sentenceLvlRep_morph_sentNgramOverlap2_N4,ALL,-0.8333333134651184,-0.5555555820465088,up
sentenceLvlRep_morph_sentNgramOverlap2_N5,ALL,-1.0,-0.8125,up
sentenceLvlRep_morph_sentNgramOverlap2_N6,ALL,-1.0,-0.9523809552192688,neutral
sentenceLvlRep_morph_sentNgramOverlap2_N7,ALL,-1.0,-1.0,neutral
sentenceLvlRep_morph_sentNgramOverlap2_N8,ALL,-1.0,-1.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N2,ALL,0.016470588743686676,0.028846153989434242,up
sentenceLvlRep_morph_sentNgramOverlap3Avg_N3,ALL,0.0,0.006006006151437759,up
sentenceLvlRep_morph_sentNgramOverlap3Avg_N4,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N5,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N6,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N7,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3Avg_N8,ALL,0.0,0.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N2,ALL,-1.545454502105713,-1.1875,up
sentenceLvlRep_morph_sentNgramOverlap3_N3,ALL,-2.0,-1.8333333730697632,up
sentenceLvlRep_morph_sentNgramOverlap3_N4,ALL,-2.0,-2.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N5,ALL,-2.0,-2.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N6,ALL,-2.0,-2.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N7,ALL,-2.0,-2.0,neutral
sentenceLvlRep_morph_sentNgramOverlap3_N8,ALL,-2.0,-2.0,neutral
sentenceLvl_MA_sentLen,ALL,0.9333333373069763,1.3333333730697632,down
sentenceLvl_MM_sentLen,ALL,0.23076923191547394,0.4285714328289032,neutral
sentenceLvl_M_sentLen,ALL,1.25,1.7000000476837158,down
sentenceLvl_V_paraLenAvg,ALL,60.0,80.0,up
sentenceLvl_V_paraLenStd,ALL,0.0,0.0,neutral
sentenceLvl_V_sentLenAvg,ALL,5.333333492279053,6.818181991577148,up
sentenceLvl_V_sentLenStd,ALL,10.358648300170898,15.9267578125,up
sentenceLvl_char_paraLenAvg,ALL,543.0,754.8999999999996,up
sentenceLvl_char_paraLenStd,ALL,0.0,0.0,neutral
sentenceLvl_char_sentLenAvg,ALL,48.83137512207031,62.13333511352539,up
sentenceLvl_char_sentLenStd,ALL,20.776487350463867,29.24570083618164,up
sentenceLvl_morph_paraLenAvg,ALL,285.0,391.89999999999964,up
sentenceLvl_morph_paraLenStd,ALL,0.0,0.0,neutral
sentenceLvl_morph_sentLenAvg,ALL,25.6088924407959,32.33333206176758,up
sentenceLvl_morph_sentLenStd,ALL,11.024971961975098,15.276506423950195,up
sentenceLvl_word_paraLenAvg,ALL,132.0,181.0,up
sentenceLvl_word_paraLenStd,ALL,0.0,0.0,neutral
sentenceLvl_word_sentLenAvg,ALL,11.776070594787598,15.083333015441895,up
sentenceLvl_word_sentLenStd,ALL,5.229950904846191,7.307530403137207,up
similarity_avgSentSimilarity,ALL,0.19388501346111298,0.2811158001422882,up
similarity_topicConsistency,ALL,0.5015000104904175,0.5734899640083313,up
ttr_2-gram_CTTR,ALL,3.482043743133545,4.137747287750244,up
ttr_2-gram_RTTR,ALL,4.92435359954834,5.851658821105957,up
ttr_2-gram_TTR,ALL,0.1146278902888298,0.1214771643280983,down
ttr_3-gram_CTTR,ALL,3.9912867546081543,4.732787132263184,up
ttr_3-gram_RTTR,ALL,5.644531726837158,6.693171977996826,up
ttr_3-gram_TTR,ALL,0.1319207102060318,0.1362922340631485,down
ttr_4-gram_CTTR,ALL,4.19639778137207,4.949768543243408,up
ttr_4-gram_RTTR,ALL,5.934602737426758,7.000030040740967,up
ttr_4-gram_TTR,ALL,0.13850368559360504,0.14104881882667542,down
ttr_5-gram_CTTR,ALL,4.274107456207275,5.022063255310059,up
ttr_5-gram_RTTR,ALL,6.044500350952148,7.102269649505615,up
ttr_5-gram_TTR,ALL,0.1408730149269104,0.14229582250118256,down
ttr_6-gram_CTTR,ALL,4.293134689331055,5.056839466094971,up
ttr_6-gram_RTTR,ALL,6.071409702301025,7.151451110839844,up
ttr_6-gram_TTR,ALL,0.14158163964748383,0.1422193944454193,up
ttr_7-gram_CTTR,ALL,4.301289081573486,5.056984901428223,up
ttr_7-gram_RTTR,ALL,6.082941055297852,7.151656627655029,up
ttr_7-gram_TTR,ALL,0.14134542644023895,0.141929492354393,up
ttr_8-gram_CTTR,ALL,4.293134689331055,5.050234317779541,up
ttr_8-gram_RTTR,ALL,6.071409702301025,7.1421098709106445,up
ttr_8-gram_TTR,ALL,0.14094388484954834,0.1415778249502182,up
ttr_C_CTTR,ALL,4.572004795074463,5.459186553955078,up
ttr_C_HDD,ALL,0.7670997977256775,0.8153373003005981,up
ttr_C_MATTR,ALL,0.7190287113189697,0.7715996503829956,up
ttr_C_MSTTR,ALL,0.7149999737739563,0.7699999809265137,up
ttr_C_MTLD,ALL,44.83274459838867,62.84767150878906,up
ttr_C_RTTR,ALL,6.465790748596191,7.720455646514893,up
ttr_C_TTR,ALL,0.540229856967926,0.6019371747970581,down
ttr_C_VOCDD,ALL,52.99495315551758,75.46495819091797,up
ttr_E_CTTR,ALL,2.0027759075164795,2.22756028175354,down
ttr_E_HDD,ALL,0.442158043384552,0.48875436186790466,up
ttr_E_MATTR,ALL,0.41729238629341125,0.46190476417541504,down
ttr_E_MSTTR,ALL,0.41999998688697815,0.46000000834465027,down
ttr_E_MTLD,ALL,13.964958190917969,16.200000762939453,up
ttr_E_RTTR,ALL,2.832352876663208,3.1502461433410645,down
ttr_E_TTR,ALL,0.3291139304637909,0.39344263076782227,down
ttr_E_VOCDD,ALL,6.863026142120361,9.539695739746094,up
ttr_F_CTTR,ALL,2.357022523880005,2.5625,down
ttr_F_HDD,ALL,0.543003261089325,0.5730931758880615,up
ttr_F_MATTR,ALL,0.4950401186943054,0.52839595079422,up
ttr_F_MSTTR,ALL,0.49000000953674316,0.5266666412353516,neutral
ttr_F_MTLD,ALL,19.386722564697266,21.9349422454834,up
ttr_F_RTTR,ALL,3.3333332538604736,3.623922348022461,down
ttr_F_TTR,ALL,0.27659574151039124,0.3357612192630768,down
ttr_F_VOCDD,ALL,13.498866081237793,16.103567123413086,up
ttr_IC_CTTR,ALL,0.0,0.0,neutral
ttr_IC_HDD,ALL,0.0,0.0,neutral
ttr_IC_MATTR,ALL,0.0,0.0,neutral
ttr_IC_MSTTR,ALL,0.0,0.0,neutral
ttr_IC_MTLD,ALL,0.0,0.0,neutral
ttr_IC_RTTR,ALL,0.0,0.0,neutral
ttr_IC_TTR,ALL,0.0,0.0,neutral
ttr_IC_VOCDD,ALL,0.0,0.0,neutral
ttr_J_CTTR,ALL,1.3568010330200195,1.5155444145202637,down
ttr_J_HDD,ALL,0.29990652203559875,0.34206849336624146,up
ttr_J_MATTR,ALL,0.2981733977794647,0.3367944359779358,down
ttr_J_MSTTR,ALL,0.30000001192092896,0.3400000035762787,down
ttr_J_MTLD,ALL,10.598006248474121,11.5,up
ttr_J_RTTR,ALL,1.9188064336776733,2.143303632736206,down
ttr_J_TTR,ALL,0.24242424964904785,0.3103448152542114,down
ttr_J_VOCDD,ALL,2.0097622871398926,3.5864739418029785,up
ttr_MAJ_CTTR,ALL,0.7071067690849304,0.8164966106414795,neutral
ttr_MAJ_HDD,ALL,0.0,0.0,neutral
ttr_MAJ_MATTR,ALL,0.6000000238418579,1.0,neutral
ttr_MAJ_MSTTR,ALL,0.6000000238418579,1.0,neutral
ttr_MAJ_MTLD,ALL,0.0,1.1200000047683716,neutral
ttr_MAJ_RTTR,ALL,1.0,1.154700517654419,neutral
ttr_MAJ_TTR,ALL,0.6000000238418579,1.0,neutral
ttr_MAJ_VOCDD,ALL,0.0,0.0,neutral
ttr_MA_CTTR,ALL,1.7888543605804443,2.1572775840759277,up
ttr_MA_HDD,ALL,0.0,0.0,neutral
ttr_MA_MATTR,ALL,0.7692307829856873,0.8823529481887817,neutral
ttr_MA_MSTTR,ALL,0.7692307829856873,0.8823529481887817,neutral
ttr_MA_MTLD,ALL,11.34000015258789,20.0,up
ttr_MA_RTTR,ALL,2.5298221111297607,3.0508511066436768,up
ttr_MA_TTR,ALL,0.7692307829856873,0.8823529481887817,neutral
ttr_MA_VOCDD,ALL,0.0,0.0,neutral
ttr_MM_CTTR,ALL,0.0,0.0,neutral
ttr_MM_HDD,ALL,0.0,0.0,neutral
ttr_MM_MATTR,ALL,0.0,0.0,neutral
ttr_MM_MSTTR,ALL,0.0,0.0,neutral
ttr_MM_MTLD,ALL,0.0,0.0,neutral
ttr_MM_RTTR,ALL,0.0,0.0,neutral
ttr_MM_TTR,ALL,0.0,0.0,neutral
ttr_MM_VOCDD,ALL,0.0,0.0,neutral
ttr_M_CTTR,ALL,1.7888543605804443,2.1572775840759277,up
ttr_M_HDD,ALL,0.0,0.0,neutral
ttr_M_MATTR,ALL,0.7692307829856873,0.8823529481887817,neutral
ttr_M_MSTTR,ALL,0.7692307829856873,0.8823529481887817,neutral
ttr_M_MTLD,ALL,11.34000015258789,20.0,up
ttr_M_RTTR,ALL,2.5298221111297607,3.0508511066436768,up
ttr_M_TTR,ALL,0.7692307829856873,0.8823529481887817,neutral
ttr_M_VOCDD,ALL,0.0,0.0,neutral
ttr_NNB_CTTR,ALL,0.9128709435462952,1.1666666269302368,neutral
ttr_NNB_HDD,ALL,0.0,0.0,neutral
ttr_NNB_MATTR,ALL,0.380952388048172,0.5384615659713745,down
ttr_NNB_MSTTR,ALL,0.380952388048172,0.5384615659713745,down
ttr_NNB_MTLD,ALL,5.599999904632568,8.15384578704834,up
ttr_NNB_RTTR,ALL,1.29099440574646,1.6499158143997192,neutral
